"Name","dataset","noise","model","seed_group","noise_p","noise_r","test/accuracy","test/rre","test/nmi"
"pleasant-sweep-84","orl","salt_and_pepper","l21","fca7d59f7ab472663903756c0a9d11497aca9cfadf52195db353f98739d721ea","0.4","0.5","0.2861111111111111","0.3400853660696038","0.478155151495218"
"volcanic-sweep-83","orl","salt_and_pepper","l21","fca7d59f7ab472663903756c0a9d11497aca9cfadf52195db353f98739d721ea","0.4","0.5","0.28055555555555556","0.338292550495452","0.45298345491781056"
"major-sweep-82","orl","salt_and_pepper","l21","fca7d59f7ab472663903756c0a9d11497aca9cfadf52195db353f98739d721ea","0.4","0.5","0.25","0.338252389768569","0.42178663235880887"
"divine-sweep-81","orl","salt_and_pepper","l21","fca7d59f7ab472663903756c0a9d11497aca9cfadf52195db353f98739d721ea","0.4","0.5","0.24166666666666667","0.3406533611495526","0.4427799576802823"
"quiet-sweep-80","orl","salt_and_pepper","l21","6bb9a5366f5a6e12bd0782fde5429e0a220dccbf32e9e7079f0c627131db0208","0.4","0","0.36666666666666664","0.45850809261264747","0.5758308549023782"
"stilted-sweep-79","orl","salt_and_pepper","l21","6bb9a5366f5a6e12bd0782fde5429e0a220dccbf32e9e7079f0c627131db0208","0.4","0","0.38055555555555554","0.4581800635529","0.5729638967426448"
"young-sweep-78","orl","salt_and_pepper","l21","6bb9a5366f5a6e12bd0782fde5429e0a220dccbf32e9e7079f0c627131db0208","0.4","0","0.3972222222222222","0.458517679398514","0.5879084543782545"
"valiant-sweep-77","orl","salt_and_pepper","l21","6bb9a5366f5a6e12bd0782fde5429e0a220dccbf32e9e7079f0c627131db0208","0.4","0","0.4055555555555555","0.4575678324070605","0.5934654809960196"
"fanciful-sweep-76","orl","salt_and_pepper","l21","6bb9a5366f5a6e12bd0782fde5429e0a220dccbf32e9e7079f0c627131db0208","0.4","0","0.3861111111111111","0.4586155214901725","0.5696370659218899"
"usual-sweep-75","orl","salt_and_pepper","l21","62e01e616b42ca331f09a921c1d1af77f32d49aed1707478e0a3bb1143f75e2f","0.2","1","0.4888888888888889","0.3480739129147785","0.6640750596125935"
"rural-sweep-74","orl","salt_and_pepper","l21","62e01e616b42ca331f09a921c1d1af77f32d49aed1707478e0a3bb1143f75e2f","0.2","1","0.5027777777777778","0.3495401280253138","0.6690767151503956"
"exalted-sweep-73","orl","salt_and_pepper","l21","62e01e616b42ca331f09a921c1d1af77f32d49aed1707478e0a3bb1143f75e2f","0.2","1","0.48333333333333334","0.34705326456732827","0.6596999002769816"
"deep-sweep-72","orl","salt_and_pepper","l21","62e01e616b42ca331f09a921c1d1af77f32d49aed1707478e0a3bb1143f75e2f","0.2","1","0.48333333333333334","0.347056475140451","0.6569856793459261"
"lively-sweep-71","orl","salt_and_pepper","l21","62e01e616b42ca331f09a921c1d1af77f32d49aed1707478e0a3bb1143f75e2f","0.2","1","0.48333333333333334","0.3484353795544066","0.6477700498282984"
"exalted-sweep-70","orl","salt_and_pepper","l21","0f253dde4ec641685315105d1a6b3c5237ed1ab8627042ba41e7a36eb365c9b3","0.2","0.5","0.5361111111111111","0.25231583547012704","0.6825956056263102"
"deep-sweep-69","orl","salt_and_pepper","l21","0f253dde4ec641685315105d1a6b3c5237ed1ab8627042ba41e7a36eb365c9b3","0.2","0.5","0.6138888888888889","0.25045507931794325","0.7464198898043393"
"amber-sweep-68","orl","salt_and_pepper","l21","0f253dde4ec641685315105d1a6b3c5237ed1ab8627042ba41e7a36eb365c9b3","0.2","0.5","0.5333333333333333","0.2515698009407975","0.7061169378019535"
"tough-sweep-67","orl","salt_and_pepper","l21","0f253dde4ec641685315105d1a6b3c5237ed1ab8627042ba41e7a36eb365c9b3","0.2","0.5","0.5666666666666667","0.25006478991652165","0.6961756113065946"
"crimson-sweep-66","orl","salt_and_pepper","l21","0f253dde4ec641685315105d1a6b3c5237ed1ab8627042ba41e7a36eb365c9b3","0.2","0.5","0.5305555555555556","0.2524044096482253","0.6856205766886739"
"sage-sweep-65","orl","salt_and_pepper","l21","553509d999372015cfee8186702db6bbf881d2f1e8ac57aea44ac7afdd5508fb","0.2","0","0.5944444444444444","0.2882981661967559","0.7726605243180281"
"electric-sweep-64","orl","salt_and_pepper","l21","553509d999372015cfee8186702db6bbf881d2f1e8ac57aea44ac7afdd5508fb","0.2","0","0.6","0.2882503220304941","0.7493252468707529"
"glorious-sweep-63","orl","salt_and_pepper","l21","553509d999372015cfee8186702db6bbf881d2f1e8ac57aea44ac7afdd5508fb","0.2","0","0.5833333333333334","0.28982849241850783","0.733839396646892"
"gallant-sweep-62","orl","salt_and_pepper","l21","553509d999372015cfee8186702db6bbf881d2f1e8ac57aea44ac7afdd5508fb","0.2","0","0.5527777777777778","0.28854747627551974","0.7292632256897916"
"neat-sweep-61","orl","salt_and_pepper","l21","553509d999372015cfee8186702db6bbf881d2f1e8ac57aea44ac7afdd5508fb","0.2","0","0.5388888888888889","0.28998414414330803","0.7391946628976331"
"dark-sweep-60","orl","salt_and_pepper","l21","fef9642c72d931ee05290503a211955bd40d12b90d6d398c61427d3c4d626ba0","0.1","1","0.6361111111111111","0.2412139359813938","0.7678022876624128"
"fast-sweep-59","orl","salt_and_pepper","l21","fef9642c72d931ee05290503a211955bd40d12b90d6d398c61427d3c4d626ba0","0.1","1","0.6527777777777778","0.24073395995742736","0.7973725552672595"
"soft-sweep-58","orl","salt_and_pepper","l21","fef9642c72d931ee05290503a211955bd40d12b90d6d398c61427d3c4d626ba0","0.1","1","0.6555555555555556","0.23948309814266924","0.799800446276235"
"likely-sweep-57","orl","salt_and_pepper","l21","fef9642c72d931ee05290503a211955bd40d12b90d6d398c61427d3c4d626ba0","0.1","1","0.6361111111111111","0.2379499332815258","0.7858919730364738"
"good-sweep-56","orl","salt_and_pepper","l21","fef9642c72d931ee05290503a211955bd40d12b90d6d398c61427d3c4d626ba0","0.1","1","0.6222222222222222","0.24158387530455677","0.7704501257985477"
"good-sweep-55","orl","salt_and_pepper","l21","1f4348d9b982073d569338c000476726332f9aad331f788c2633c57e233c38b9","0.1","0.5","0.6527777777777778","0.19977678134889987","0.7951162129254348"
"wandering-sweep-54","orl","salt_and_pepper","l21","1f4348d9b982073d569338c000476726332f9aad331f788c2633c57e233c38b9","0.1","0.5","0.6694444444444444","0.19956289594250465","0.8103031095567815"
"fluent-sweep-53","orl","salt_and_pepper","l21","1f4348d9b982073d569338c000476726332f9aad331f788c2633c57e233c38b9","0.1","0.5","0.6416666666666667","0.19938160107363184","0.7907314399547986"
"tough-sweep-52","orl","salt_and_pepper","l21","1f4348d9b982073d569338c000476726332f9aad331f788c2633c57e233c38b9","0.1","0.5","0.7361111111111112","0.1987100166763869","0.8350266127798776"
"sandy-sweep-51","orl","salt_and_pepper","l21","1f4348d9b982073d569338c000476726332f9aad331f788c2633c57e233c38b9","0.1","0.5","0.6694444444444444","0.2001474223435696","0.7951001310906688"
"summer-sweep-50","orl","salt_and_pepper","l21","48f8aa5c204f71d652e3687897acebc1a067dcc909a16a7a3f48d684014323e6","0.1","0","0.725","0.20742899454949007","0.8367869832175707"
"daily-sweep-49","orl","salt_and_pepper","l21","48f8aa5c204f71d652e3687897acebc1a067dcc909a16a7a3f48d684014323e6","0.1","0","0.7166666666666667","0.2079349916393467","0.8502242096149535"
"lucky-sweep-48","orl","salt_and_pepper","l21","48f8aa5c204f71d652e3687897acebc1a067dcc909a16a7a3f48d684014323e6","0.1","0","0.6583333333333333","0.20834258000955877","0.8155500161025916"
"apricot-sweep-47","orl","salt_and_pepper","l21","48f8aa5c204f71d652e3687897acebc1a067dcc909a16a7a3f48d684014323e6","0.1","0","0.6888888888888889","0.20673586878080932","0.8257442089220364"
"absurd-sweep-46","orl","salt_and_pepper","l21","48f8aa5c204f71d652e3687897acebc1a067dcc909a16a7a3f48d684014323e6","0.1","0","0.725","0.20839032712989203","0.8408221675342534"
"brisk-sweep-45","orl","salt_and_pepper","standard","e0eac5b2153529ea911e55e2ba88eb061f83bed2ae939441178dfbe9f57082f6","0.4","1","0.275","0.5685242776040608","0.5027918140911459"
"fragrant-sweep-44","orl","salt_and_pepper","standard","e0eac5b2153529ea911e55e2ba88eb061f83bed2ae939441178dfbe9f57082f6","0.4","1","0.2916666666666667","0.5690756220387053","0.4951017676905854"
"divine-sweep-43","orl","salt_and_pepper","standard","e0eac5b2153529ea911e55e2ba88eb061f83bed2ae939441178dfbe9f57082f6","0.4","1","0.30277777777777776","0.5654269977948871","0.5063072481598254"
"dry-sweep-42","orl","salt_and_pepper","standard","e0eac5b2153529ea911e55e2ba88eb061f83bed2ae939441178dfbe9f57082f6","0.4","1","0.30277777777777776","0.5654762649527227","0.5076312657897897"
"polished-sweep-41","orl","salt_and_pepper","standard","e0eac5b2153529ea911e55e2ba88eb061f83bed2ae939441178dfbe9f57082f6","0.4","1","0.33611111111111114","0.5695192749847017","0.5303246195582126"
"jumping-sweep-40","orl","salt_and_pepper","standard","2794978fcc4d3bf8226d5c119b1dbf6854caf2cde04ff15c92abf9c32c38fc19","0.4","0.5","0.2638888888888889","0.33926920632621865","0.4402577118802955"
"swift-sweep-39","orl","salt_and_pepper","standard","2794978fcc4d3bf8226d5c119b1dbf6854caf2cde04ff15c92abf9c32c38fc19","0.4","0.5","0.26666666666666666","0.3400456238333164","0.4400711366793599"
"lilac-sweep-38","orl","salt_and_pepper","standard","2794978fcc4d3bf8226d5c119b1dbf6854caf2cde04ff15c92abf9c32c38fc19","0.4","0.5","0.2722222222222222","0.3381778609348681","0.4527239809993349"
"peach-sweep-37","orl","salt_and_pepper","standard","2794978fcc4d3bf8226d5c119b1dbf6854caf2cde04ff15c92abf9c32c38fc19","0.4","0.5","0.25833333333333336","0.3381755452418065","0.43042430292336975"
"valiant-sweep-36","orl","salt_and_pepper","standard","2794978fcc4d3bf8226d5c119b1dbf6854caf2cde04ff15c92abf9c32c38fc19","0.4","0.5","0.2611111111111111","0.340578124009834","0.45131802383452946"
"upbeat-sweep-35","orl","salt_and_pepper","standard","b4cd8a1a5fe107943c24f7638689d6414a8d7fac55cc58c415ef8f71d1fff512","0.4","0","0.35","0.4588939311779239","0.5801593301317539"
"copper-sweep-34","orl","salt_and_pepper","standard","b4cd8a1a5fe107943c24f7638689d6414a8d7fac55cc58c415ef8f71d1fff512","0.4","0","0.4111111111111111","0.4584423306348029","0.6236708894616712"
"rural-sweep-33","orl","salt_and_pepper","standard","b4cd8a1a5fe107943c24f7638689d6414a8d7fac55cc58c415ef8f71d1fff512","0.4","0","0.38333333333333336","0.4588846375878722","0.5929655393946036"
"zany-sweep-32","orl","salt_and_pepper","standard","b4cd8a1a5fe107943c24f7638689d6414a8d7fac55cc58c415ef8f71d1fff512","0.4","0","0.38055555555555554","0.4578574136930856","0.6017415316722062"
"wild-sweep-31","orl","salt_and_pepper","standard","b4cd8a1a5fe107943c24f7638689d6414a8d7fac55cc58c415ef8f71d1fff512","0.4","0","0.36666666666666664","0.4590566647548324","0.5592283173211352"
"daily-sweep-30","orl","salt_and_pepper","standard","3a62ed617f2aaf6c7d72dafa4d05b62ae3a93c4bc8e8a3c53eaca97deb983bdc","0.2","1","0.5333333333333333","0.3484853567782417","0.6926186421362005"
"glamorous-sweep-29","orl","salt_and_pepper","standard","3a62ed617f2aaf6c7d72dafa4d05b62ae3a93c4bc8e8a3c53eaca97deb983bdc","0.2","1","0.5","0.3497772101490029","0.6923064876454166"
"copper-sweep-28","orl","salt_and_pepper","standard","3a62ed617f2aaf6c7d72dafa4d05b62ae3a93c4bc8e8a3c53eaca97deb983bdc","0.2","1","0.4722222222222222","0.34732294061638325","0.6516019757471196"
"spring-sweep-27","orl","salt_and_pepper","standard","3a62ed617f2aaf6c7d72dafa4d05b62ae3a93c4bc8e8a3c53eaca97deb983bdc","0.2","1","0.5027777777777778","0.3472708147421102","0.6916793449063373"
"curious-sweep-26","orl","salt_and_pepper","standard","3a62ed617f2aaf6c7d72dafa4d05b62ae3a93c4bc8e8a3c53eaca97deb983bdc","0.2","1","0.4777777777777778","0.34854736073554793","0.6566343292395875"
"serene-sweep-25","orl","salt_and_pepper","standard","2e9dd99d48440d71729454e1592589e62c5050e64a88bd25846c7bef836585b7","0.2","0.5","0.5166666666666667","0.25224625724604216","0.6792785917137447"
"denim-sweep-24","orl","salt_and_pepper","standard","2e9dd99d48440d71729454e1592589e62c5050e64a88bd25846c7bef836585b7","0.2","0.5","0.5777777777777777","0.25031824015017673","0.7127764943322519"
"rich-sweep-23","orl","salt_and_pepper","standard","2e9dd99d48440d71729454e1592589e62c5050e64a88bd25846c7bef836585b7","0.2","0.5","0.55","0.25147454801666963","0.7102771176377696"
"neat-sweep-22","orl","salt_and_pepper","standard","2e9dd99d48440d71729454e1592589e62c5050e64a88bd25846c7bef836585b7","0.2","0.5","0.5888888888888889","0.24982057506404115","0.7242345528453613"
"dashing-sweep-21","orl","salt_and_pepper","standard","2e9dd99d48440d71729454e1592589e62c5050e64a88bd25846c7bef836585b7","0.2","0.5","0.5138888888888888","0.25222543840492856","0.67513567052646"
"leafy-sweep-20","orl","salt_and_pepper","standard","bc3c618cf775f01ba2b4ff88416eb49d1e58fb4fbac4ff7ea9a9dd2fafd29546","0.2","0","0.5638888888888889","0.28885412681500844","0.7250047758029766"
"proud-sweep-19","orl","salt_and_pepper","standard","bc3c618cf775f01ba2b4ff88416eb49d1e58fb4fbac4ff7ea9a9dd2fafd29546","0.2","0","0.6333333333333333","0.2887587692783624","0.7732313302437376"
"autumn-sweep-18","orl","salt_and_pepper","standard","bc3c618cf775f01ba2b4ff88416eb49d1e58fb4fbac4ff7ea9a9dd2fafd29546","0.2","0","0.55","0.29028067098269034","0.7168858310957982"
"warm-sweep-17","orl","salt_and_pepper","standard","bc3c618cf775f01ba2b4ff88416eb49d1e58fb4fbac4ff7ea9a9dd2fafd29546","0.2","0","0.5555555555555556","0.2891146577262138","0.73221947201973"
"lilac-sweep-16","orl","salt_and_pepper","standard","bc3c618cf775f01ba2b4ff88416eb49d1e58fb4fbac4ff7ea9a9dd2fafd29546","0.2","0","0.5138888888888888","0.2904270055483448","0.7142096126341906"
"robust-sweep-15","orl","salt_and_pepper","standard","bdcf57756122050c70b53c2af6879e624778ef9d949ec913e4608712c81179c0","0.1","1","0.6083333333333333","0.24094211945409455","0.7563600520731281"
"cool-sweep-14","orl","salt_and_pepper","standard","bdcf57756122050c70b53c2af6879e624778ef9d949ec913e4608712c81179c0","0.1","1","0.6388888888888888","0.2409015520630645","0.7907599185253191"
"wild-sweep-13","orl","salt_and_pepper","standard","bdcf57756122050c70b53c2af6879e624778ef9d949ec913e4608712c81179c0","0.1","1","0.6305555555555555","0.2396989978665799","0.7800045229903503"
"leafy-sweep-12","orl","salt_and_pepper","standard","bdcf57756122050c70b53c2af6879e624778ef9d949ec913e4608712c81179c0","0.1","1","0.625","0.237908532175827","0.7917361464935373"
"ethereal-sweep-11","orl","salt_and_pepper","standard","bdcf57756122050c70b53c2af6879e624778ef9d949ec913e4608712c81179c0","0.1","1","0.5944444444444444","0.24136006360310927","0.7632469837577596"
"fiery-sweep-10","orl","salt_and_pepper","standard","1ccc19e756ca68f42b93a5977142ece001076c4c16862406cfc247f13202969e","0.1","0.5","0.6888888888888889","0.19965589730928376","0.7989092146490013"
"happy-sweep-9","orl","salt_and_pepper","standard","1ccc19e756ca68f42b93a5977142ece001076c4c16862406cfc247f13202969e","0.1","0.5","0.6861111111111111","0.19943046122785812","0.8218053587629166"
"crisp-sweep-8","orl","salt_and_pepper","standard","1ccc19e756ca68f42b93a5977142ece001076c4c16862406cfc247f13202969e","0.1","0.5","0.6416666666666667","0.19923704888150656","0.787666315886471"
"serene-sweep-7","orl","salt_and_pepper","standard","1ccc19e756ca68f42b93a5977142ece001076c4c16862406cfc247f13202969e","0.1","0.5","0.6666666666666666","0.1986376044935684","0.8054416606908009"
"earnest-sweep-6","orl","salt_and_pepper","standard","1ccc19e756ca68f42b93a5977142ece001076c4c16862406cfc247f13202969e","0.1","0.5","0.6722222222222223","0.19991641869709895","0.7946650792492507"
"rare-sweep-5","orl","salt_and_pepper","standard","11d47555a6a2704d3f5aa67c32ec28e6d6312adab2fbd83cbc75bfc57946d698","0.1","0","0.6861111111111111","0.20798526655217137","0.834097664540915"
"decent-sweep-4","orl","salt_and_pepper","standard","11d47555a6a2704d3f5aa67c32ec28e6d6312adab2fbd83cbc75bfc57946d698","0.1","0","0.7222222222222222","0.20851721036013307","0.8507180974288954"
"winter-sweep-3","orl","salt_and_pepper","standard","11d47555a6a2704d3f5aa67c32ec28e6d6312adab2fbd83cbc75bfc57946d698","0.1","0","0.6611111111111111","0.2087710936686141","0.8164772648937882"
"woven-sweep-2","orl","salt_and_pepper","standard","11d47555a6a2704d3f5aa67c32ec28e6d6312adab2fbd83cbc75bfc57946d698","0.1","0","0.7055555555555556","0.207280496822806","0.8351216351929936"
